// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 10 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/" /p:OutDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/publish/" in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1
// command took 1.23 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/" /p:OutDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/publish/" --output "/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1
// command took 8.73 sec and exited with 0
// ***** Done, took 00:00:10 (10.03 sec)   *****
// Found 10 benchmarks:
//   ArithmeticBench.Dec_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Ucum_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Ucum_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

// **************************
// Benchmark: ArithmeticBench.Dec_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Precept.Bench-ShortRun-1.dll --anonymousPipes 108 109 --benchmarkName Precept.Bench.ArithmeticBench.Dec_Add --job ShortRun --benchmarkId 0 in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.8 (10.0.826.23019), Arm64 RyuJIT AdvSIMD
// GC=Concurrent Workstation
// HardwareIntrinsics=AdvSIMD,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 122930.00 ns, 122.9300 us/op
WorkloadJitting  1: 1 op, 197668.00 ns, 197.6680 us/op

OverheadJitting  2: 16 op, 141795.00 ns, 8.8622 us/op
WorkloadJitting  2: 16 op, 129666.00 ns, 8.1041 us/op

WorkloadPilot    1: 16 op, 496.00 ns, 31.0000 ns/op
WorkloadPilot    2: 32 op, 272.00 ns, 8.5000 ns/op
WorkloadPilot    3: 64 op, 432.00 ns, 6.7500 ns/op
WorkloadPilot    4: 128 op, 784.00 ns, 6.1250 ns/op
WorkloadPilot    5: 256 op, 1552.00 ns, 6.0625 ns/op
WorkloadPilot    6: 512 op, 3088.00 ns, 6.0313 ns/op
WorkloadPilot    7: 1024 op, 6128.00 ns, 5.9844 ns/op
WorkloadPilot    8: 2048 op, 12176.00 ns, 5.9453 ns/op
WorkloadPilot    9: 4096 op, 24785.00 ns, 6.0510 ns/op
WorkloadPilot   10: 8192 op, 49312.00 ns, 6.0195 ns/op
WorkloadPilot   11: 16384 op, 98434.00 ns, 6.0079 ns/op
WorkloadPilot   12: 32768 op, 197315.00 ns, 6.0216 ns/op
WorkloadPilot   13: 65536 op, 396600.00 ns, 6.0516 ns/op
WorkloadPilot   14: 131072 op, 832384.00 ns, 6.3506 ns/op
WorkloadPilot   15: 262144 op, 1599614.00 ns, 6.1020 ns/op
WorkloadPilot   16: 524288 op, 3168139.00 ns, 6.0427 ns/op
WorkloadPilot   17: 1048576 op, 6327221.00 ns, 6.0341 ns/op
WorkloadPilot   18: 2097152 op, 12644380.00 ns, 6.0293 ns/op
WorkloadPilot   19: 4194304 op, 25302743.00 ns, 6.0326 ns/op
WorkloadPilot   20: 8388608 op, 50586494.00 ns, 6.0304 ns/op
WorkloadPilot   21: 16777216 op, 74451786.00 ns, 4.4377 ns/op
WorkloadPilot   22: 33554432 op, 139649304.00 ns, 4.1619 ns/op
WorkloadPilot   23: 67108864 op, 279482787.00 ns, 4.1646 ns/op
WorkloadPilot   24: 134217728 op, 558037874.00 ns, 4.1577 ns/op

OverheadWarmup   1: 134217728 op, 223345274.00 ns, 1.6641 ns/op
OverheadWarmup   2: 134217728 op, 188281966.00 ns, 1.4028 ns/op
OverheadWarmup   3: 134217728 op, 188156860.00 ns, 1.4019 ns/op
OverheadWarmup   4: 134217728 op, 188147675.00 ns, 1.4018 ns/op
OverheadWarmup   5: 134217728 op, 188121273.00 ns, 1.4016 ns/op
OverheadWarmup   6: 134217728 op, 188165416.00 ns, 1.4019 ns/op
OverheadWarmup   7: 134217728 op, 188217048.00 ns, 1.4023 ns/op
OverheadWarmup   8: 134217728 op, 188171976.00 ns, 1.4020 ns/op
OverheadWarmup   9: 134217728 op, 188194649.00 ns, 1.4022 ns/op
OverheadWarmup  10: 134217728 op, 188212487.00 ns, 1.4023 ns/op

OverheadActual   1: 134217728 op, 188229350.00 ns, 1.4024 ns/op
OverheadActual   2: 134217728 op, 188295447.00 ns, 1.4029 ns/op
OverheadActual   3: 134217728 op, 188408857.00 ns, 1.4038 ns/op
OverheadActual   4: 134217728 op, 188252229.00 ns, 1.4026 ns/op
OverheadActual   5: 134217728 op, 188240901.00 ns, 1.4025 ns/op
OverheadActual   6: 134217728 op, 188307843.00 ns, 1.4030 ns/op
OverheadActual   7: 134217728 op, 188176449.00 ns, 1.4020 ns/op
OverheadActual   8: 134217728 op, 188302339.00 ns, 1.4030 ns/op
OverheadActual   9: 134217728 op, 188213362.00 ns, 1.4023 ns/op
OverheadActual  10: 134217728 op, 188222641.00 ns, 1.4024 ns/op
OverheadActual  11: 134217728 op, 188191613.00 ns, 1.4021 ns/op
OverheadActual  12: 134217728 op, 188245806.00 ns, 1.4025 ns/op
OverheadActual  13: 134217728 op, 188286959.00 ns, 1.4028 ns/op
OverheadActual  14: 134217728 op, 188309439.00 ns, 1.4030 ns/op
OverheadActual  15: 134217728 op, 188242014.00 ns, 1.4025 ns/op

WorkloadWarmup   1: 134217728 op, 558221672.00 ns, 4.1591 ns/op
