1	InputTooLarge
2	UnterminatedStringLiteral
3	UnterminatedTypedConstant
4	UnterminatedInterpolation
5	InvalidCharacter
6	UnrecognizedStringEscape
7	UnrecognizedTypedConstantEscape
8	UnescapedBraceInLiteral
9	ExpectedToken
10	NonAssociativeComparison
11	UnexpectedKeyword
12	InvalidCallTarget
13	OmitDoesNotSupportGuard
14	EventHandlerDoesNotSupportGuard
15	PreEventGuardNotAllowed
16	ExpectedOutcome
17	UndeclaredField
18	TypeMismatch
19	NullInNonNullableContext
20	InvalidMemberAccess
21	FunctionArityMismatch
22	FunctionArgConstraintViolation
23	MutuallyExclusiveQualifiers
24	DuplicateFieldName
25	DuplicateStateName
26	DuplicateEventName
27	DuplicateArgName
28	UndeclaredState
29	UndeclaredEvent
30	UndeclaredFunction
31	MultipleInitialStates
32	NoInitialState
33	InvalidModifierForType
34	InvalidModifierBounds
35	InvalidModifierValue
36	DuplicateModifier
37	RedundantModifier
38	ComputedFieldNotWritable
39	ComputedFieldWithDefault
40	CircularComputedField
41	EditableOnEventArg
42	ConflictingAccessModes
43	RedundantAccessMode
44	ListLiteralOutsideDefault
45	DuplicateChoiceValue
46	EmptyChoice
47	CollectionOperationOnScalar
48	ScalarOperationOnCollection
49	IsSetOnNonOptional
50	EventArgOutOfScope
51	InvalidInterpolationCoercion
52	UnresolvedTypedConstant
53	InvalidTypedConstantContent
54	DefaultForwardReference
55	InvalidDateValue
56	InvalidDateFormat
57	InvalidTimeValue
58	InvalidInstantFormat
59	InvalidTimezoneId
60	UnqualifiedPeriodArithmetic
61	MissingTemporalUnit
62	FractionalUnitValue
63	UnguardedCollectionAccess
64	UnguardedCollectionMutation
65	NonOrderableCollectionExtreme
66	CaseInsensitiveFieldRequiresTildeEquals
67	MaxPlacesExceeded
68	QualifierMismatch
69	DimensionCategoryMismatch
70	CrossCurrencyArithmetic
71	CrossDimensionArithmetic
72	DenominatorUnitMismatch
73	DurationDenominatorMismatch
74	CompoundPeriodDenominator
75	InvalidUnitString
76	InvalidCurrencyCode
77	InvalidDimensionString
78	NumericOverflow
79	OutOfRange
80	UnreachableState
81	UnhandledEvent
82	UnsatisfiableGuard
83	DivisionByZero
84	SqrtOfNegative
85	NonChoiceAssignedToChoice
86	ChoiceLiteralNotInSet
87	ChoiceArgOutsideFieldSet
88	ChoiceElementTypeMismatch
89	ChoiceRankConflict
90	ChoiceMissingElementType
91	AmbiguousTypedConstant
92	EventHandlerInStatefulPrecept
93	RequiredFieldsNeedInitialEvent
94	InitialEventMissingAssignments
95	CaseInsensitiveFieldRequiresTildeNotEquals
96	CaseInsensitiveValueInCaseSensitiveContains
97	CaseInsensitiveFieldRequiresTildeStartsWith
98	CaseInsensitiveFieldRequiresTildeEndsWith
99	KeyPresenceSafety
100	IndexBoundsGuard
101	KeyUniquenessGuard
102	InvalidQuantifierTarget
103	BindingShadowsField
104	RequiredTraitViolation
105	CollectionInnerTypeError
106	QuantifierPredicateNotBoolean
107	UndeclaredArg
108	DeadEndState
109	TerminalStateHasOutgoingEdges
110	IrreversibleStateHasBackEdge
111	RequiredStateDoesNotDominateTerminal
112	UnprovedModifierRequirement
113	UnprovedDimensionRequirement
114	UnprovedQualifierCompatibility
115	UnsatisfiableInitialState
116	UnprovedPresenceRequirement
117	InvalidTemporalDimensionString
118	InvalidTemporalUnitString
119	StructuralSinkState
120	ConflictingModifiers
121	InvalidInterpolatedTypedConstantForm
122	InterpolationNotSupportedForType
123	InterpolatedTypedConstantHoleTypeMismatch
124	DimensionMismatchInUnitSlot
125	AlwaysRejecting
126	StateAlwaysRejects
127	AssignmentInExpressionContext
128	StateListContainsWildcard
129	DuplicateStateInList
130	OmittedFieldReadInState
131	OmittedFieldSetInTargetState
132	RequiredFieldUnassignedOnEntry
133	BoundsRequireQualifier
134	BoundsQualifierMismatch
135	LengthBoundViolation
136	CountBoundViolation
137	CrossCountingUnitOperation
138	CountDimensionBoundsAmbiguous
139	InvalidQualifierCoexistence
140	InvalidPriceQualifier
141	UnprovedAssignmentQualifierCompatibility
142	UninitializedFieldReadInInitialAssignment
143	MaterializedFieldSelfReference
144	UninitializedCrossFieldReadInInitialAssignment
145	InitialEventInTransitionRow
146	ZeroConstructionRows
147	MultipleInitialEvents
148	ConstructionGuardReadsUninitializedField
149	McpToolInternalError
150	CurrencyMismatchInCurrencySlot
151	MissingOrderingKey
152	MaxplacesCurrencyQualifierNotStatic
153	TautologicalGuard
154	VacuousRule
155	ContradictoryRule
156	DegeneratePeriodComparison
157	IncompatibleDimensionalProduct
158	FieldNeverSet
159	UnsatisfiableRule
160	DuplicateCompositeBasisComponent
161	UnknownCompositeBasisComponent
162	EmptyCompositeBasisComponent
163	UnqualifiedEventArgReference
164	DefaultViolatesRule
